name;maxEnergy;QValue,reactants;products;a0;a1;a2;a3;a4;a5;a6
p28(,e+)si28;7.921884962757595e+29;14.3438;p28;si28;0.942799;0.0;0.0;0.0;0.0;0.0;0.0
p29(,e+)si29;1.7196873493340429e+28;4.9431;p29;si29;-1.78721;0.0;0.0;0.0;0.0;0.0;0.0
p30(,e+)si30;3.92846411604262e+26;4.232;p30;si30;-5.37715;0.0;0.0;0.0;0.0;0.0;0.0
p32(e-,)s32;1.8166396499144349e+22;1.7115;p32;s32;-14.389;0.0;0.0;0.0;0.0;0.0;0.0
p33(e-,)s33;1.438885822503796e+21;0.2489;p33;s33;-14.9659;0.0;0.0;0.0;0.0;0.0;0.0
p34(e-,)s34;5.333798907356567e+27;5.383;p34;s34;-2.88421;0.0;0.0;0.0;0.0;0.0;0.0
p35(e-,)s35;1.0065697331153469e+27;3.989;p35;s35;-4.22302;0.0;0.0;0.0;0.0;0.0;0.0
p36(e-,)s36;2.1573660679208505e+28;10.413;p36;s36;-2.08928;0.0;0.0;0.0;0.0;0.0;0.0
p37(e-,)s37;3.860862608231704e+28;7.901;p37;s37;-1.20376;0.0;0.0;0.0;0.0;0.0;0.0
p38(e-,)s38;1.8463352371393784e+29;12.219;p38;s38;-0.0480592;0.0;0.0;0.0;0.0;0.0;0.0
p39(e-,)s39;2.9335360750402225e+29;10.367;p39;s39;0.605348;0.0;0.0;0.0;0.0;0.0;0.0
p40(e-,)s40;1.044512790653558e+30;14.856;p40;s40;1.54095;0.0;0.0;0.0;0.0;0.0;0.0
p41(e-,)s41;1.0056448052676974e+30;14.109;p41;s41;1.5794;0.0;0.0;0.0;0.0;0.0;0.0
p42(e-,)s42;1.9145158364859397e+30;18.686;p42;s42;1.96653;0.0;0.0;0.0;0.0;0.0;0.0
p43(e-,)s43;4.4539899810044256e+30;16.749;p43;s43;2.94393;0.0;0.0;0.0;0.0;0.0;0.0
p44(e-,)s44;7.670179371490553e+30;20.2832;p44;s44;3.31915;0.0;0.0;0.0;0.0;0.0;0.0
p45(e-,)s45;8.953242309604841e+35;19.312;p45;s45;15.0584;0.0;0.0;0.0;0.0;0.0;0.0
p46(e-,)s46;1.0314918187012965e+36;22.747;p46;s46;15.0584;0.0;0.0;0.0;0.0;0.0;0.0
p47(,e-)s47;0.0;0.0;p47;s47;1.15876;0.0;0.0;0.0;0.0;0.0;0.0
s26(,e+)p26;7.621984724133742e+30;16.35;s26;p26;3.00319;0.0;0.0;0.0;0.0;0.0;0.0
s27(,e+)p27;1.7089509862820703e+31;17.749;s27;p27;3.76581;0.0;0.0;0.0;0.0;0.0;0.0
s28(,e+)p28;1.061171173295309e+30;11.222;s28;p28;1.481;0.0;0.0;0.0;0.0;0.0;0.0
s29(,e+)p29;5.628386088949147e+29;13.795;s29;p29;0.675255;0.0;0.0;0.0;0.0;0.0;0.0
s30(,e+)p30;7.241335887145032e+28;6.138;s30;p30;-0.532027;0.0;0.0;0.0;0.0;0.0;0.0
s31(,e+)p31;2.829828879945427e+28;5.3975;s31;p31;-1.31042;0.0;0.0;0.0;0.0;0.0;0.0
s35(e-,)cl35;2.640278208879665e+20;0.167;s35;cl35;-16.2036;0.0;0.0;0.0;0.0;0.0;0.0
s37(e-,)cl37;1.812809008947905e+26;4.865;s37;cl37;-6.08025;0.0;0.0;0.0;0.0;0.0;0.0
s38(e-,)cl38;3.1653698608781326e+24;2.937;s38;cl38;-9.59666;0.0;0.0;0.0;0.0;0.0;0.0
s39(e-,)cl39;6.181987690191013e+27;6.638;s39;cl39;-2.80886;0.0;0.0;0.0;0.0;0.0;0.0
s40(e-,)cl40;5.490313556871545e+27;4.627;s40;cl40;-2.54127;0.0;0.0;0.0;0.0;0.0;0.0
s41(e-,)cl41;4.207010163441786e+28;8.219;s41;cl41;-1.05465;0.0;0.0;0.0;0.0;0.0;0.0
s42(e-,)cl42;6.984319533988533e+28;7.235;s42;cl42;-0.396072;0.0;0.0;0.0;0.0;0.0;0.0
s43(e-,)cl43;2.567308663211863e+29;12.338;s43;cl43;0.395627;0.0;0.0;0.0;0.0;0.0;0.0
s44(e-,)cl44;8.952800638170351e+29;11.506;s44;cl44;1.73762;0.0;0.0;0.0;0.0;0.0;0.0
s45(e-,)cl45;9.01791094556698e+29;14.37;s45;cl45;1.54521;0.0;0.0;0.0;0.0;0.0;0.0
s46(e-,)cl46;2.5130319714326578e+30;13.847;s46;cl46;2.62922;0.0;0.0;0.0;0.0;0.0;0.0
s47(e-,)cl47;8.369312993880508e+29;17.2386;s47;cl47;1.33229;0.0;0.0;0.0;0.0;0.0;0.0
s48(e-,)cl48;7.312181976845702e+35;16.822;s48;cl48;15.0584;0.0;0.0;0.0;0.0;0.0;0.0
s49(,e-)cl49;0.0;0.0;s49;cl49;4.19722;0.0;0.0;0.0;0.0;0.0;0.0
cl28(,e+)s28;2.135653804474113e+32;24.38;cl28;s28;6.01061;0.0;0.0;0.0;0.0;0.0;0.0
cl29(,e+)s29;2.2720251061534067e+31;17.53;cl29;s29;4.1343;0.0;0.0;0.0;0.0;0.0;0.0
cl30(,e+)s30;7.344220476434982e+30;17.21;cl30;s30;3.05693;0.0;0.0;0.0;0.0;0.0;0.0
cl31(,e+)s31;1.0678873829656375e+30;11.977;cl31;s31;1.52358;0.0;0.0;0.0;0.0;0.0;0.0
cl32(,e+)s32;5.548728132466428e+29;12.6805;cl32;s32;0.843349;0.0;0.0;0.0;0.0;0.0;0.0
cl33(,e+)s33;2.8154220947084022e+28;5.5829;cl33;s33;-1.2868;0.0;0.0;0.0;0.0;0.0;0.0
cl34(,e+)s34;4.409532824814615e+28;5.491;cl34;s34;-0.791781;0.0;0.0;0.0;0.0;0.0;0.0
cl36(e-,)ar36;850871305433715.2;0.71;cl36;ar36;-30.268;0.0;0.0;0.0;0.0;0.0;0.0
cl36(,e+)s36;26530833460727.586;1.143;cl36;s36;-34.2121;0.0;0.0;0.0;0.0;0.0;0.0
cl38(e-,)ar38;2.4236250944502746e+25;4.916;cl38;ar38;-8.07627;0.0;0.0;0.0;0.0;0.0;0.0
cl39(e-,)ar39;1.0940811367492258e+25;3.442;cl39;ar39;-8.48918;0.0;0.0;0.0;0.0;0.0;0.0
cl40(e-,)ar40;9.647694082647308e+26;7.4829;cl40;ar40;-4.76096;0.0;0.0;0.0;0.0;0.0;0.0
cl41(e-,)ar41;1.5282505712165867e+27;5.76;cl41;ar41;-4.01457;0.0;0.0;0.0;0.0;0.0;0.0
cl42(e-,)ar42;1.3908249627157376e+28;9.51;cl42;ar42;-2.28344;0.0;0.0;0.0;0.0;0.0;0.0
cl43(e-,)ar43;2.358818714478194e+28;7.601;cl43;ar43;-1.50755;0.0;0.0;0.0;0.0;0.0;0.0
cl44(e-,)ar44;1.8818103687341e+29;12.068;cl44;ar44;0.129924;0.0;0.0;0.0;0.0;0.0;0.0
cl45(e-,)ar45;1.9486793584148365e+29;11.411;cl45;ar45;0.243358;0.0;0.0;0.0;0.0;0.0;0.0
cl46(e-,)ar46;2.4914113739277698e+29;15.919;cl46;ar46;0.178214;0.0;0.0;0.0;0.0;0.0;0.0
cl47(e-,)ar47;1.3291479417177293e+30;15.112;cl47;ar47;1.92612;0.0;0.0;0.0;0.0;0.0;0.0
cl48(e-,)ar48;8.081099683566488e+35;18.584;cl48;ar48;15.0584;0.0;0.0;0.0;0.0;0.0;0.0
cl49(e-,)ar49;8.986132616354432e+35;17.932;cl49;ar49;15.221;0.0;0.0;0.0;0.0;0.0;0.0
cl50(e-,)ar50;9.35225994402327e+30;20.3349;cl50;ar50;3.64261;0.0;0.0;0.0;0.0;0.0;0.0
cl51(e-,)ar51;8.322333842144775e+35;20.343;cl51;ar51;15.0584;0.0;0.0;0.0;0.0;0.0;0.0
cl52(,e-)ar52;0.0;0.0;cl52;ar52;1.45216;0.0;0.0;0.0;0.0;0.0;0.0
ar29(,e+)cl29;7.214926116781516e+31;20.58;ar29;cl29;5.13026;0.0;0.0;0.0;0.0;0.0;0.0
