         t  he3                            
      ne36    n na35                       
      ne36    p  f35                       
      ne36  he4  o32                       
      ne37    n ne36                       
      ne37    n na36                       
      ne37    p  f36                       
      ne37  he4  o33                       
      ne38    n ne37                       
      ne38    p  f37                       
      ne38  he4  o34                       
      ne39    n na38                       
      ne41    n na40                       
      na19    p ne18                       
      na19  he4  f15                       
      na20    n na19                       
      na20    p ne19                       
      na20    p ne19                       
      na20  he4  f16                       
      na20  he4  o16                       
      na21    n na20                       
      na21    p ne20                       
      na21    p ne20                       
      na21  he4  f17                       
      na22    n na21                       
      na22    p ne21                       
      na22    p ne21                       
      na22    p ne21                       
      na22    p ne21                       
      na22  he4  f18                       
      na23    n na22                       
      na23    p ne22                       
      na23    p ne22                       
      na23    p ne22                       
      na23    p ne22                       
      na23  he4  f19                       
      na24    n na23                       
      na24    n na23                       
      na24    p ne23                       
      na24  he4  f20                       
      na25    n na24                       
      na25    p ne24                       
      na25  he4  f21                       
      na26    n na25                       
      na26    p ne25                       
      na26  he4  f22                       
      na27    n na26                       
      na27    n mg26                       
      na27    p ne26                       
      na27  he4  f23                       
      na28    n na27                       
      na28    n mg27                       
      na28    p ne27                       
      na28  he4  f24                       
      na29    n na28                       
      na29    n mg28                       
      na29    p ne28                       
      na29  he4  f25                       
      na30    n na29                       
      na30    n mg29                       
      na30    p ne29                       
      na30  he4  f26                       
      na30  he4 ne26                       
      na31    n na30                       
      na31    n mg30                       
      na31    p ne30                       
      na31  he4  f27                       
      na32    n na31                       
      na32    n mg31                       
      na32    p ne31                       
      na32  he4  f28                       
      na33    n na32                       
      na33    n mg32                       
      na33    p ne32                       
      na33  he4  f29                       
      na34    n na33                       
      na34    n mg33                       
      na34    p ne33                       
      na34  he4  f30                       
      na35    n na34                       
      na35    n mg34                       
      na35    p ne34                       
      na35  he4  f31                       
      na36    n na35                       
      na36    n mg35                       
      na36    p ne35                       
      na36  he4  f32                       
      na37    n na36                       
      na37    n mg36                       
      na37    p ne36                       
      na37  he4  f33                       
      na38    n na37                       
      na38    n mg37                       
      na38    p ne37                       
      na38  he4  f34                       
      na39    n na38                       
      na39    n mg38                       
